                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2101,                0.67033,                0.98501,                 1.5606,              0.0033257,              0.0033257,              0.0033257
                      2,                0.94975,                0.69331,                0.97802,                 1.5321,              0.0065931,              0.0065931,              0.0065931
                      3,                0.98282,                0.65035,                0.97802,                  1.556,              0.0097946,              0.0097946,              0.0097946
                      4,                 1.2699,                0.68631,                0.99301,                 1.5808,               0.009703,               0.009703,               0.009703
                      5,                 1.8592,                0.67532,                0.98801,                 1.5393,               0.009703,               0.009703,               0.009703
                      6,                 1.2694,                0.70529,                0.98801,                 1.5451,               0.009604,               0.009604,               0.009604
                      7,                 1.6914,                0.70629,                0.99101,                  1.519,               0.009505,               0.009505,               0.009505
                      8,                 1.1305,                 0.6953,                0.99201,                 1.4983,               0.009406,               0.009406,               0.009406
                      9,                 1.1095,                0.72228,                0.99401,                 1.4869,               0.009307,               0.009307,               0.009307
                     10,                 1.0565,                0.71828,                  0.996,                 1.4993,               0.009208,               0.009208,               0.009208
                     11,                 1.9155,                0.71029,                  0.995,                 1.4839,               0.009109,               0.009109,               0.009109
                     12,                  1.215,                0.70629,                  0.995,                 1.4992,                0.00901,                0.00901,                0.00901
                     13,                0.98222,                0.71528,                0.99101,                 1.4976,               0.008911,               0.008911,               0.008911
                     14,                 1.1142,                0.71029,                0.99001,                  1.495,               0.008812,               0.008812,               0.008812
                     15,                 1.1132,                0.71528,                0.99401,                 1.4886,               0.008713,               0.008713,               0.008713
                     16,                0.96076,                0.73726,                0.98901,                 1.4938,               0.008614,               0.008614,               0.008614
                     17,                0.83146,                0.71329,                0.99401,                 1.4831,               0.008515,               0.008515,               0.008515
                     18,                0.90367,                0.75325,                  0.997,                 1.4855,               0.008416,               0.008416,               0.008416
                     19,                  0.803,                0.74126,                  0.998,                 1.4732,               0.008317,               0.008317,               0.008317
                     20,                0.82356,                0.73726,                0.99201,                 1.4717,               0.008218,               0.008218,               0.008218
                     21,                0.82845,                0.74625,                  0.998,                 1.4683,               0.008119,               0.008119,               0.008119
                     22,                0.76397,                0.73526,                  0.995,                  1.459,                0.00802,                0.00802,                0.00802
                     23,                0.85245,                0.72028,                  0.996,                 1.4628,               0.007921,               0.007921,               0.007921
                     24,                0.62112,                0.74825,                0.98901,                 1.4644,               0.007822,               0.007822,               0.007822
                     25,                0.58747,                0.73526,                0.99401,                 1.4588,               0.007723,               0.007723,               0.007723
                     26,                0.61943,                0.71728,                  0.996,                 1.4773,               0.007624,               0.007624,               0.007624
                     27,                0.51796,                 0.7013,                  0.995,                 1.4787,               0.007525,               0.007525,               0.007525
                     28,                0.46723,                0.74026,                0.99301,                 1.4559,               0.007426,               0.007426,               0.007426
